customer_id,name,email,age,country,purchase_amount
0,Customer_0,user0@gmail.com,62,USA,2130
1,Customer_1,user1@gmail.com,67,USA,2501
2,Customer_2,user2@gmail.com,66,USA,3582
3,Customer_3,user3@gmail.com,46,UK,3034
4,Customer_4,user4@gmail.com,51,USA,4471
5,Customer_5,user5@gmail.com,66,USA,3710
6,Customer_6,user6@gmail.com,46,UK,3608
7,Customer_7,user7@gmail.com,49,USA,1026
8,Customer_8,user8@gmail.com,61,UK,2900
9,Customer_9,user9@gmail.com,25,UK,3225
10,Customer_10,user10@gmail.com,69,UK,3917
11,Customer_11,user11@gmail.com,46,USA,801
12,Customer_12,user12@gmail.com,32,India,679
13,Customer_13,user13@gmail.com,65,UK,688
14,Customer_14,user14@gmail.com,49,India,2176
15,Customer_15,user15@gmail.com,34,UK,3430
16,Customer_16,user16@gmail.com,48,USA,2608
17,Customer_17,user17@gmail.com,24,UK,1175
18,Customer_18,user18@gmail.com,64,USA,4366
19,Customer_19,user19@gmail.com,22,UK,1277
20,Customer_20,user20@gmail.com,55,India,3363
21,Customer_21,user21@gmail.com,30,USA,2841
22,Customer_22,user22@gmail.com,47,UK,1678
23,Customer_23,user23@gmail.com,47,UK,522
24,Customer_24,user24@gmail.com,58,USA,888
25,Customer_25,user25@gmail.com,23,USA,3884
26,Customer_26,user26@gmail.com,37,USA,2011
27,Customer_27,user27@gmail.com,70,UK,4189
28,Customer_28,user28@gmail.com,68,India,2139
29,Customer_29,user29@gmail.com,37,UK,2463
30,Customer_30,user30@gmail.com,53,India,1488
31,Customer_31,user31@gmail.com,20,India,2354
32,Customer_32,user32@gmail.com,63,UK,963
33,Customer_33,user33@gmail.com,55,UK,4968
34,Customer_34,user34@gmail.com,23,USA,4626
35,Customer_35,user35@gmail.com,25,UK,502
36,Customer_36,user36@gmail.com,32,India,2378
37,Customer_37,user37@gmail.com,47,India,3644
38,Customer_38,user38@gmail.com,54,USA,3128
39,Customer_39,user39@gmail.com,52,USA,4548
40,Customer_40,user40@gmail.com,40,USA,3262
41,Customer_41,user41@gmail.com,28,UK,2360
42,Customer_42,user42@gmail.com,62,USA,278
43,Customer_43,user43@gmail.com,51,India,1465
44,Customer_44,user44@gmail.com,41,UK,4815
45,Customer_45,user45@gmail.com,51,UK,2133
46,Customer_46,user46@gmail.com,41,India,1603
47,Customer_47,user47@gmail.com,39,USA,2369
48,Customer_48,user48@gmail.com,33,UK,1127
49,Customer_49,user49@gmail.com,35,India,4354
50,Customer_50,user50@gmail.com,26,UK,3329
51,Customer_51,user51@gmail.com,45,India,4915
52,Customer_52,user52@gmail.com,35,India,2134
53,Customer_53,user53@gmail.com,51,UK,984
54,Customer_54,user54@gmail.com,25,UK,4825
55,Customer_55,user55@gmail.com,62,USA,2940
56,Customer_56,user56@gmail.com,30,USA,2803
57,Customer_57,user57@gmail.com,62,UK,4654
58,Customer_58,user58@gmail.com,34,India,2064
59,Customer_59,user59@gmail.com,64,UK,3794
60,Customer_60,user60@gmail.com,51,India,4237
61,Customer_61,user61@gmail.com,27,India,2175
62,Customer_62,user62@gmail.com,57,UK,1207
63,Customer_63,user63@gmail.com,62,UK,2927
64,Customer_64,user64@gmail.com,52,USA,3643
65,Customer_65,user65@gmail.com,51,USA,4607
66,Customer_66,user66@gmail.com,42,India,4532
67,Customer_67,user67@gmail.com,21,India,266
68,Customer_68,user68@gmail.com,53,UK,2597
69,Customer_69,user69@gmail.com,62,India,2162
70,Customer_70,user70@gmail.com,20,India,4419
71,Customer_71,user71@gmail.com,29,USA,3199
72,Customer_72,user72@gmail.com,64,UK,952
73,Customer_73,user73@gmail.com,38,India,2637
74,Customer_74,user74@gmail.com,45,UK,3453
75,Customer_75,user75@gmail.com,40,UK,1593
76,Customer_76,user76@gmail.com,48,USA,2464
77,Customer_77,user77@gmail.com,35,India,1073
78,Customer_78,user78@gmail.com,50,India,945
79,Customer_79,user79@gmail.com,57,India,4424
80,Customer_80,user80@gmail.com,41,UK,4535
81,Customer_81,user81@gmail.com,52,India,4475
82,Customer_82,user82@gmail.com,70,USA,4978
83,Customer_83,user83@gmail.com,68,USA,2796
84,Customer_84,user84@gmail.com,64,UK,4401
85,Customer_85,user85@gmail.com,36,India,2029
86,Customer_86,user86@gmail.com,56,USA,2264
87,Customer_87,user87@gmail.com,68,USA,4983
88,Customer_88,user88@gmail.com,60,India,1071
89,Customer_89,user89@gmail.com,69,UK,3962
90,Customer_90,user90@gmail.com,28,India,3085
91,Customer_91,user91@gmail.com,20,USA,388
92,Customer_92,user92@gmail.com,19,India,1879
93,Customer_93,user93@gmail.com,37,USA,4547
94,Customer_94,user94@gmail.com,65,USA,781
95,Customer_95,user95@gmail.com,70,USA,2064
96,Customer_96,user96@gmail.com,45,USA,2637
97,Customer_97,user97@gmail.com,37,India,4642
98,Customer_98,user98@gmail.com,21,USA,4749
99,Customer_99,user99@gmail.com,26,India,1087
100,Customer_100,user100@gmail.com,56,USA,2344
101,Customer_101,user101@gmail.com,53,India,4746
102,Customer_102,user102@gmail.com,33,UK,825
103,Customer_103,user103@gmail.com,43,UK,2596
104,Customer_104,user104@gmail.com,38,UK,3564
105,Customer_105,user105@gmail.com,70,USA,2512
106,Customer_106,user106@gmail.com,44,UK,4523
107,Customer_107,user107@gmail.com,54,USA,3779
108,Customer_108,user108@gmail.com,69,USA,3053
109,Customer_109,user109@gmail.com,41,UK,4100
110,Customer_110,user110@gmail.com,31,India,4192
111,Customer_111,user111@gmail.com,40,India,693
112,Customer_112,user112@gmail.com,50,USA,2481
113,Customer_113,user113@gmail.com,18,UK,2695
114,Customer_114,user114@gmail.com,28,UK,4840
115,Customer_115,user115@gmail.com,48,USA,2646
116,Customer_116,user116@gmail.com,21,India,3397
117,Customer_117,user117@gmail.com,31,USA,4819
118,Customer_118,user118@gmail.com,62,USA,3458
119,Customer_119,user119@gmail.com,64,UK,696
120,Customer_120,user120@gmail.com,35,India,259
121,Customer_121,user121@gmail.com,61,India,4220
122,Customer_122,user122@gmail.com,59,India,4989
123,Customer_123,user123@gmail.com,22,India,1106
124,Customer_124,user124@gmail.com,62,India,4253
125,Customer_125,user125@gmail.com,59,USA,4460
126,Customer_126,user126@gmail.com,31,UK,397
127,Customer_127,user127@gmail.com,62,USA,4466
128,Customer_128,user128@gmail.com,39,USA,2127
129,Customer_129,user129@gmail.com,28,UK,3560
130,Customer_130,user130@gmail.com,35,USA,2780
131,Customer_131,user131@gmail.com,66,India,3415
132,Customer_132,user132@gmail.com,57,USA,3245
133,Customer_133,user133@gmail.com,33,UK,4630
134,Customer_134,user134@gmail.com,54,USA,4699
135,Customer_135,user135@gmail.com,43,UK,938
136,Customer_136,user136@gmail.com,68,UK,2923
137,Customer_137,user137@gmail.com,34,USA,4138
138,Customer_138,user138@gmail.com,52,India,1295
139,Customer_139,user139@gmail.com,53,UK,1479
140,Customer_140,user140@gmail.com,63,USA,3654
141,Customer_141,user141@gmail.com,63,USA,3391
142,Customer_142,user142@gmail.com,32,USA,4620
143,Customer_143,user143@gmail.com,61,USA,999
144,Customer_144,user144@gmail.com,23,USA,1172
145,Customer_145,user145@gmail.com,54,USA,2835
146,Customer_146,user146@gmail.com,34,USA,2438
147,Customer_147,user147@gmail.com,65,UK,4928
148,Customer_148,user148@gmail.com,25,UK,4744
149,Customer_149,user149@gmail.com,40,India,4361
150,Customer_150,user150@gmail.com,38,USA,2943
151,Customer_151,user151@gmail.com,38,India,4952
152,Customer_152,user152@gmail.com,52,USA,4087
153,Customer_153,user153@gmail.com,51,India,945
154,Customer_154,user154@gmail.com,47,UK,852
155,Customer_155,user155@gmail.com,29,UK,2746
156,Customer_156,user156@gmail.com,56,India,3806
157,Customer_157,user157@gmail.com,28,UK,1293
158,Customer_158,user158@gmail.com,34,USA,4808
159,Customer_159,user159@gmail.com,33,UK,2158
160,Customer_160,user160@gmail.com,41,UK,2856
161,Customer_161,user161@gmail.com,49,USA,1483
162,Customer_162,user162@gmail.com,54,India,2388
163,Customer_163,user163@gmail.com,58,India,2655
164,Customer_164,user164@gmail.com,27,India,141
165,Customer_165,user165@gmail.com,68,India,372
166,Customer_166,user166@gmail.com,48,UK,3814
167,Customer_167,user167@gmail.com,65,India,1292
168,Customer_168,user168@gmail.com,59,UK,3913
169,Customer_169,user169@gmail.com,64,UK,4722
170,Customer_170,user170@gmail.com,41,USA,4078
171,Customer_171,user171@gmail.com,27,USA,342
172,Customer_172,user172@gmail.com,31,India,4105
173,Customer_173,user173@gmail.com,70,India,3729
174,Customer_174,user174@gmail.com,57,India,364
175,Customer_175,user175@gmail.com,65,USA,3173
176,Customer_176,user176@gmail.com,43,India,588
177,Customer_177,user177@gmail.com,69,UK,3427
178,Customer_178,user178@gmail.com,59,USA,4458
179,Customer_179,user179@gmail.com,46,USA,3605
180,Customer_180,user180@gmail.com,64,USA,2257
181,Customer_181,user181@gmail.com,65,UK,4510
182,Customer_182,user182@gmail.com,18,UK,3080
183,Customer_183,user183@gmail.com,61,UK,2571
184,Customer_184,user184@gmail.com,63,USA,3013
185,Customer_185,user185@gmail.com,54,India,3839
186,Customer_186,user186@gmail.com,62,India,390
187,Customer_187,user187@gmail.com,30,India,4325
188,Customer_188,user188@gmail.com,30,USA,2553
189,Customer_189,user189@gmail.com,26,UK,4353
190,Customer_190,user190@gmail.com,63,USA,570
191,Customer_191,user191@gmail.com,40,USA,2785
192,Customer_192,user192@gmail.com,53,UK,2127
193,Customer_193,user193@gmail.com,47,UK,4374
194,Customer_194,user194@gmail.com,29,USA,3839
195,Customer_195,user195@gmail.com,18,USA,1666
196,Customer_196,user196@gmail.com,22,India,3593
197,Customer_197,user197@gmail.com,63,USA,3331
198,Customer_198,user198@gmail.com,54,USA,2567
199,Customer_199,user199@gmail.com,41,India,1981
200,Customer_200,user200@gmail.com,60,USA,4116
201,Customer_201,user201@gmail.com,28,India,4174
202,Customer_202,user202@gmail.com,20,USA,3895
203,Customer_203,user203@gmail.com,39,UK,4100
204,Customer_204,user204@gmail.com,63,USA,1276
205,Customer_205,user205@gmail.com,39,UK,850
206,Customer_206,user206@gmail.com,41,UK,121
207,Customer_207,user207@gmail.com,66,USA,2386
208,Customer_208,user208@gmail.com,37,USA,149
209,Customer_209,user209@gmail.com,50,USA,1240
210,Customer_210,user210@gmail.com,28,India,2610
211,Customer_211,user211@gmail.com,34,USA,2436
212,Customer_212,user212@gmail.com,48,USA,4343
213,Customer_213,user213@gmail.com,66,UK,3398
214,Customer_214,user214@gmail.com,68,India,2777
215,Customer_215,user215@gmail.com,23,USA,2747
216,Customer_216,user216@gmail.com,58,India,1980
217,Customer_217,user217@gmail.com,64,USA,470
218,Customer_218,user218@gmail.com,65,India,2128
219,Customer_219,user219@gmail.com,18,India,4034
220,Customer_220,user220@gmail.com,38,UK,2712
221,Customer_221,user221@gmail.com,62,UK,717
222,Customer_222,user222@gmail.com,55,UK,4860
223,Customer_223,user223@gmail.com,46,India,4184
